Entity,Code,Year,"Fertility rate (Select Gapminder, v12) (2017)"
United Kingdom,GBR,2019,1.87
United States,USA,2019,1.9
United States Virgin Islands,VIR,2019,2.15
Uruguay,URY,2019,1.96
Uzbekistan,UZB,2019,2.21
Vanuatu,VUT,2019,3.17
Venezuela,VEN,2019,2.25
Vietnam,VNM,2019,1.94
Western Sahara,ESH,2019,2.37
World,OWID_WRL,2019,2.43
Yemen,YEM,2019,3.69
Zambia,ZMB,2019,4.81
Zimbabwe,ZWE,2019,3.53
