Entity,Code,Year,Fertility_rate19,Population19,Per_cap17
Romania,ROU,2019,1.631,19365000,19158.36
Russia,RUS,2019,1.83,145872000,24042.63
Rwanda,RWA,2019,3.99,12627000,1819.08
Saint Lucia,LCA,2019,1.424,183000,10440.01
Sao Tome and Principe,STP,2019,4.267,215000,3721.01
Saudi Arabia,SAU,2019,2.275,34269000,50001.94
Senegal,SEN,2019,4.556,16296000,2519.68
Serbia,SRB,2019,1.447,8772000,13488.67
Seychelles,SYC,2019,2.433,98000,27573.69
Sierra Leone,SLE,2019,4.169,7813000,1644.25
Singapore,SGP,2019,1.217,5804000,67331.03
Slovakia,SVK,2019,1.521,5457000,26096.15
Slovenia,SVN,2019,1.613,2079000,28190.18
South Africa,ZAF,2019,2.381,58558000,12189.36
South Korea,KOR,2019,1.093,51225000,37093.22
Spain,ESP,2019,1.344,46737000,30908.12
Sri Lanka,LKA,2019,2.188,21324000,11418.13
Sudan,SDN,2019,4.347,42813000,3566.15
Sweden,SWE,2019,1.846,10036000,45192.74
Switzerland,CHE,2019,1.542,8591000,60171.44
Syria,SYR,2019,2.771,17070000,3241.4
Taiwan,TWN,2019,1.174,23774000,43503.79
Tajikistan,TJK,2019,3.556,9321000,4204.91
Tanzania,TZA,2019,4.832,58005000,2762.87
Thailand,THA,2019,1.514,69626000,16032.22
Togo,TGO,2019,4.259,8082000,1417.82
Trinidad and Tobago,TTO,2019,1.711,1395000,28556.54
Tunisia,TUN,2019,2.174,11695000,11168.26
Turkey,TUR,2019,2.055,83430000,18995.82
Turkmenistan,TKM,2019,2.74,5942000,25069.62
Uganda,UGA,2019,4.824,44270000,1991.9
Ukraine,UKR,2019,1.438,43994000,9484.38
United Arab Emirates,ARE,2019,1.387,9771000,76643.5
United Kingdom,GBR,2019,1.746,67530000,37782.83
United States,USA,2019,1.772,329064992,54007.77
Uruguay,URY,2019,1.963,3462000,19918.14
Uzbekistan,UZB,2019,2.398,32982000,10743.87
Venezuela,VEN,2019,2.25,28516000,12879.14
Vietnam,VNM,2019,2.05,96462000,6422.09
World,OWID_WRL,2019,2.452,7713467904,14944.09
Yemen,YEM,2019,3.7,29162000,2321.92
Zambia,ZMB,2019,4.559,17861000,3497.58
Zimbabwe,ZWE,2019,3.531,14645000,1582.37
